iter	Passed	Remaining
0	8	1666
1	17	1751
2	27	1804
3	36	1800
4	46	1801
5	56	1820
6	67	1854
7	79	1918
8	89	1894
9	98	1875
10	109	1873
11	120	1887
12	131	1896
13	141	1882
14	152	1875
15	165	1897
16	173	1866
17	182	1842
18	190	1810
19	199	1791
20	206	1762
21	217	1755
22	226	1741
23	234	1721
24	243	1707
25	251	1686
26	261	1673
27	269	1656
28	279	1650
29	288	1632
30	298	1627
31	308	1618
32	316	1602
33	324	1584
34	333	1570
35	342	1558
36	350	1544
37	359	1530
38	367	1516
39	375	1502
40	384	1489
41	393	1479
42	400	1463
43	410	1454
44	418	1442
45	428	1435
46	436	1422
47	446	1413
48	454	1399
49	465	1397
50	475	1387
51	483	1375
52	492	1367
53	500	1354
54	509	1343
55	517	1331
56	525	1319
57	533	1306
58	542	1296
59	550	1284
60	559	1275
61	567	1263
62	578	1257
63	588	1249
64	597	1240
65	606	1231
66	614	1219
67	623	1209
68	631	1198
69	639	1188
70	647	1177
71	656	1167
72	664	1155
73	674	1148
74	683	1139
75	692	1129
76	700	1119
77	708	1108
78	717	1098
79	726	1089
80	734	1078
81	743	1069
82	752	1060
83	761	1051
84	769	1041
85	777	1031
86	785	1020
87	794	1010
88	802	1001
89	811	991
90	819	982
91	827	971
92	836	962
93	844	951
94	856	946
95	864	936
96	873	928
97	882	918
98	893	911
99	902	902
100	910	892
101	919	883
102	927	873
103	936	864
104	944	854
105	954	846
106	963	837
107	972	828
108	980	818
109	989	809
110	997	799
111	1005	790
112	1013	780
113	1022	771
114	1030	761
115	1039	752
116	1047	743
117	1060	736
118	1070	728
119	1080	720
120	1089	711
121	1098	702
122	1112	696
123	1125	689
124	1134	680
125	1142	670
126	1150	661
127	1160	652
128	1169	643
129	1177	633
130	1185	624
131	1193	614
132	1202	605
133	1211	596
134	1220	587
135	1228	578
136	1237	568
137	1244	559
138	1253	549
139	1261	540
140	1269	531
141	1277	521
142	1286	512
143	1294	503
144	1302	494
145	1310	484
146	1318	475
147	1326	466
148	1335	457
149	1343	447
150	1352	438
151	1361	429
152	1369	420
153	1377	411
154	1386	402
155	1393	393
156	1402	384
157	1410	374
158	1419	366
159	1427	356
160	1436	347
161	1444	338
162	1452	329
163	1460	320
164	1468	311
165	1476	302
166	1485	293
167	1493	284
168	1504	275
169	1512	266
170	1521	258
171	1530	249
172	1538	240
173	1560	233
174	1569	224
175	1577	215
176	1585	206
177	1593	196
178	1601	187
179	1609	178
180	1620	170
181	1628	161
182	1636	152
183	1644	142
184	1653	134
185	1662	125
186	1670	116
187	1678	107
188	1686	98
189	1697	89
190	1706	80
191	1714	71
192	1722	62
193	1731	53
194	1739	44
195	1748	35
196	1757	26
197	1765	17
198	1773	8
199	1781	0
